,mun_id,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
0,70017,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
1,70025,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
2,70033,Arandjelovac,normal,376.0,45125.0,46225.0,18148.0,13721.0,4427.0,2755.0,1672.0,28077.0,3475.0,4182.0,0.392601406165,46225.0,44581.0,3.0,1.0,15.0,1.0,2.0,1.0,49.0,17.0,60.0,18.0,6.0,382.0,25.0,14.0,3.0,3.0,8.0,4.0,38.0,186.0,36.0,286.0,32.0,454.0,serbs,29348.0,32092.0,35968.0,37517.0,40324.0,0.75606127397,0.304066481994,0.964434829638,120.013297872
3,70041,Arilje,normal,349.0,18495.0,18792.0,9317.0,8318.0,999.0,668.0,331.0,9475.0,1575.0,849.0,0.49579608344,18792.0,18407.0,2.0,4.0,8.0,,,,4.0,2.0,9.0,10.0,,120.0,,3.0,1.0,1.0,,5.0,8.0,22.0,9.0,132.0,,45.0,serbs,21886.0,25259.0,24021.0,28037.0,28053.0,0.892776644843,0.449743173831,0.979512558536,52.994269341
4,70050,Babusnica,normal,529.0,11478.0,12307.0,4795.0,3180.0,1615.0,860.0,755.0,7512.0,659.0,1004.0,0.389615665881,12307.0,10933.0,1.0,1.0,632.0,,,,9.0,,5.0,1.0,3.0,244.0,3.0,,,,,,2.0,1.0,5.0,336.0,2.0,129.0,serbs,27603.0,26849.0,28105.0,28843.0,32205.0,0.663190823775,0.277051751176,0.888356220037,21.6975425331
5,70068,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
6,70076,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
7,70084,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
8,70092,Beograd-Barajevo,city-district,213.0,27031.0,27110.0,10454.0,7792.0,2662.0,1872.0,790.0,16656.0,1614.0,2456.0,0.385614164515,27110.0,25496.0,16.0,7.0,9.0,,,28.0,36.0,10.0,85.0,35.0,6.0,252.0,10.0,12.0,2.0,7.0,10.0,6.0,55.0,109.0,32.0,266.0,7.0,614.0,serbs,29372.0,31874.0,34739.0,38026.0,37503.0,0.745360627511,0.288261625541,0.940464773146,126.906103286
9,70106,Beograd-Vozdovac,city-district,148.0,163764.0,158213.0,68744.0,56779.0,11965.0,8427.0,3538.0,89469.0,14489.0,6615.0,0.434502853748,158213.0,146607.0,125.0,137.0,102.0,10.0,29.0,328.0,678.0,163.0,727.0,324.0,39.0,1169.0,83.0,93.0,19.0,66.0,156.0,34.0,615.0,906.0,521.0,3619.0,119.0,1544.0,serbs,36204.0,37801.0,40449.0,42588.0,44962.0,0.82594844641,0.346712342151,0.926643196198,1106.51351351
10,70114,Beograd-Vracar,city-district,3.0,56922.0,56333.0,25009.0,21238.0,3771.0,2653.0,1118.0,31324.0,5472.0,1240.0,0.443949372481,56333.0,50561.0,43.0,39.0,24.0,11.0,1.0,122.0,601.0,62.0,176.0,105.0,22.0,254.0,34.0,71.0,16.0,22.0,97.0,7.0,266.0,530.0,328.0,1777.0,63.0,1101.0,serbs,45419.0,49113.0,53655.0,57194.0,59958.0,0.849214282858,0.373107058782,0.897537855254,18974.0
11,70122,Beograd-Grocka,city-district,300.0,85214.0,83907.0,34847.0,28486.0,6361.0,4451.0,1910.0,49060.0,6285.0,7116.0,0.415305040104,83907.0,78979.0,13.0,69.0,161.0,,3.0,394.0,96.0,65.0,374.0,198.0,9.0,855.0,34.0,58.0,3.0,13.0,21.0,16.0,129.0,256.0,121.0,941.0,31.0,1068.0,serbs,31347.0,33000.0,36960.0,40885.0,39276.0,0.817459178695,0.334287793086,0.941268308961,284.046666667
12,70144,Beograd-Vracar (2),city-district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,70149,Beograd-Zvezdara,city-district,31.0,156872.0,151808.0,69061.0,56599.0,12462.0,9187.0,3275.0,82747.0,13889.0,5243.0,0.454923324199,151808.0,137132.0,91.0,168.0,165.0,12.0,12.0,372.0,695.0,180.0,723.0,364.0,25.0,1644.0,80.0,121.0,13.0,78.0,121.0,34.0,486.0,971.0,523.0,3878.0,119.0,3801.0,serbs,36752.0,40776.0,43266.0,46237.0,46478.0,0.819550831873,0.360797337957,0.903325252951,5060.38709677
14,70157,Beograd-Zemun,city-district,150.0,170793.0,168170.0,73137.0,59501.0,13636.0,9777.0,3859.0,95033.0,13528.0,9032.0,0.434899209134,168170.0,147810.0,165.0,170.0,81.0,19.0,26.0,383.0,995.0,205.0,557.0,496.0,98.0,5599.0,64.0,107.0,38.0,170.0,156.0,85.0,1411.0,748.0,1544.0,4821.0,209.0,2213.0,serbs,42902.0,43591.0,47329.0,48738.0,50404.0,0.813555382365,0.34838078844,0.878932033062,1138.62
15,70165,Beograd-Lazarevac,city-district,383.0,58049.0,58622.0,24410.0,20847.0,3563.0,1742.0,1821.0,34212.0,4607.0,5985.0,0.416396574665,58622.0,55987.0,12.0,2.0,9.0,3.0,3.0,9.0,45.0,21.0,66.0,45.0,5.0,650.0,29.0,20.0,1.0,7.0,16.0,9.0,47.0,166.0,35.0,426.0,3.0,1006.0,serbs,47093.0,55879.0,62742.0,64941.0,63072.0,0.854035231463,0.359127633551,0.955051004742,151.563968668
16,70173,Beograd-Mladenovac,city-district,339.0,52715.0,53096.0,21087.0,15983.0,5104.0,3159.0,1945.0,32009.0,3781.0,4774.0,0.397148561097,53096.0,50231.0,4.0,6.0,25.0,2.0,,17.0,68.0,33.0,94.0,15.0,5.0,1022.0,5.0,36.0,1.0,4.0,11.0,6.0,65.0,118.0,36.0,535.0,15.0,742.0,serbs,26010.0,27621.0,28984.0,29148.0,30178.0,0.757955138237,0.303196433653,0.946041133042,155.501474926
17,70181,Beograd-Novi Beograd,city-district,41.0,214277.0,214506.0,95500.0,81518.0,13982.0,10140.0,3842.0,119006.0,19547.0,7111.0,0.445208991823,214506.0,190834.0,223.0,343.0,111.0,48.0,30.0,304.0,1706.0,322.0,1221.0,813.0,60.0,3020.0,90.0,263.0,66.0,177.0,394.0,42.0,1812.0,2115.0,1415.0,7019.0,231.0,1847.0,serbs,52654.0,58104.0,60128.0,59266.0,62303.0,0.853591623037,0.380432804267,0.889644112519,5226.26829268
18,70190,Beograd-Obrenovac,city-district,410.0,72522.0,72524.0,28633.0,22663.0,5970.0,3858.0,2112.0,43891.0,5017.0,7996.0,0.394807236225,72524.0,67185.0,17.0,14.0,26.0,7.0,1.0,5.0,99.0,37.0,138.0,73.0,11.0,1574.0,43.0,31.0,2.0,18.0,14.0,8.0,106.0,200.0,131.0,1021.0,6.0,1757.0,serbs,38888.0,45779.0,51505.0,53409.0,54336.0,0.791499318968,0.312498276385,0.926382990458,176.882926829
19,70203,Beograd-Palilula,city-district,451.0,177258.0,173521.0,77603.0,63278.0,14325.0,10318.0,4007.0,95918.0,15033.0,8972.0,0.447225407876,173521.0,152061.0,223.0,304.0,175.0,12.0,23.0,2376.0,863.0,296.0,953.0,819.0,81.0,5607.0,637.0,162.0,15.0,103.0,137.0,73.0,687.0,915.0,593.0,4294.0,136.0,1976.0,serbs,44382.0,48932.0,54369.0,57675.0,61379.0,0.815406620878,0.356982477519,0.876326208355,393.033259424
20,70211,Beograd-Rakovica,city-district,30.0,108910.0,108641.0,48195.0,39040.0,9155.0,6698.0,2457.0,60446.0,9282.0,3709.0,0.443617050653,108641.0,100937.0,105.0,114.0,71.0,9.0,16.0,338.0,400.0,103.0,536.0,194.0,18.0,600.0,40.0,67.0,21.0,38.0,91.0,34.0,434.0,780.0,333.0,2134.0,64.0,1164.0,serbs,30231.0,38884.0,36151.0,38312.0,36085.0,0.810042535533,0.358461114682,0.929087545218,3630.33333333
21,70220,Beograd-Savski Venac,city-district,14.0,37779.0,39122.0,17005.0,14516.0,2489.0,1708.0,781.0,22117.0,4015.0,1180.0,0.434665916875,39122.0,34742.0,23.0,38.0,27.0,6.0,5.0,128.0,394.0,49.0,191.0,68.0,21.0,237.0,29.0,44.0,4.0,33.0,58.0,7.0,251.0,369.0,310.0,1419.0,38.0,631.0,serbs,41358.0,45564.0,47960.0,50945.0,51456.0,0.853631284916,0.384234627703,0.888042533613,2698.5
22,70238,Beograd-Sopot,city-district,271.0,20192.0,20367.0,7676.0,5970.0,1706.0,1114.0,592.0,12691.0,1200.0,2201.0,0.376884175382,20367.0,19554.0,9.0,,8.0,2.0,,,31.0,13.0,37.0,6.0,4.0,148.0,10.0,14.0,1.0,5.0,3.0,2.0,34.0,52.0,20.0,141.0,6.0,267.0,serbs,25305.0,27558.0,29492.0,32189.0,31664.0,0.777748827514,0.295661648177,0.960082486375,74.5092250923
23,70246,Beograd-Stari Grad,city-district,5.0,47190.0,48450.0,21725.0,18382.0,3343.0,2375.0,968.0,26725.0,4652.0,1285.0,0.448400412797,48450.0,43208.0,63.0,40.0,28.0,12.0,14.0,156.0,613.0,53.0,203.0,97.0,31.0,116.0,35.0,68.0,11.0,34.0,84.0,11.0,268.0,441.0,427.0,1805.0,93.0,539.0,serbs,45274.0,50260.0,58858.0,66163.0,64978.0,0.846121979287,0.389531680441,0.891805985552,9438.0
24,70254,Beograd-cukarica,city-district,157.0,180455.0,181231.0,80321.0,65176.0,15145.0,11105.0,4040.0,100910.0,16376.0,7782.0,0.443196804079,181231.0,166258.0,108.0,137.0,155.0,18.0,19.0,352.0,648.0,164.0,794.0,242.0,50.0,3163.0,56.0,120.0,30.0,75.0,156.0,32.0,713.0,1137.0,532.0,3809.0,93.0,2370.0,serbs,32951.0,36563.0,42116.0,44180.0,43673.0,0.811444080626,0.361175916433,0.917381684149,1149.39490446
25,70262,Blace,normal,306.0,11212.0,11754.0,4098.0,2881.0,1217.0,729.0,488.0,7656.0,906.0,954.0,0.348647269015,11754.0,11551.0,,,1.0,,,,7.0,4.0,6.0,8.0,,86.0,,2.0,,,,1.0,3.0,11.0,7.0,36.0,2.0,29.0,serbs,23744.0,27326.0,30140.0,31198.0,30818.0,0.703025866276,0.256956831966,0.982729283648,36.6405228758
26,70289,Bogatic,normal,384.0,27881.0,28883.0,11858.0,10634.0,1224.0,593.0,631.0,17025.0,1955.0,4094.0,0.410552920403,28883.0,27517.0,3.0,,5.0,,,,27.0,7.0,11.0,18.0,2.0,514.0,4.0,3.0,1.0,4.0,3.0,11.0,33.0,7.0,14.0,322.0,7.0,370.0,serbs,24458.0,27404.0,30596.0,33330.0,33456.0,0.896778546129,0.38140669273,0.952705743863,72.6067708333
27,70297,Bojnik,normal,264.0,10714.0,11104.0,5134.0,4017.0,1117.0,548.0,569.0,5970.0,595.0,1118.0,0.462355907781,11104.0,9197.0,,,1.0,,,,1.0,1.0,10.0,,,1649.0,,2.0,,1.0,,1.0,2.0,17.0,3.0,48.0,,171.0,serbs,25150.0,28535.0,31729.0,34523.0,34216.0,0.782430853136,0.374929998133,0.828260086455,40.5833333333
28,70319,Boljevac,normal,828.0,12231.0,12994.0,5716.0,4997.0,719.0,475.0,244.0,7278.0,772.0,919.0,0.439895336309,12994.0,8372.0,4.0,,8.0,,3356.0,,11.0,2.0,19.0,20.0,2.0,287.0,92.0,2.0,,1.0,2.0,,9.0,3.0,54.0,617.0,9.0,124.0,serbs,24910.0,27878.0,32044.0,35674.0,34904.0,0.874212736179,0.408552039899,0.644297368016,14.7717391304
29,70327,Bor,normal,856.0,47444.0,48615.0,20891.0,16362.0,4529.0,2683.0,1846.0,27724.0,4060.0,3457.0,0.429723336419,48615.0,35435.0,113.0,13.0,60.0,1.0,6701.0,4.0,87.0,24.0,429.0,61.0,17.0,1758.0,293.0,19.0,1.0,12.0,47.0,4.0,79.0,96.0,185.0,2549.0,16.0,611.0,serbs,34301.0,42080.0,48428.0,52381.0,51983.0,0.783208080034,0.344869741169,0.728890260208,55.4252336449
30,70335,Bosilegrad,normal,571.0,7729.0,8129.0,4528.0,3839.0,689.0,417.0,272.0,3601.0,581.0,439.0,0.557018083405,8129.0,895.0,1.0,,5839.0,,,,20.0,,38.0,,,162.0,,,2.0,1.0,,1.0,1.0,2.0,12.0,1110.0,2.0,43.0,bulgarians,20939.0,26648.0,31461.0,34186.0,33977.0,0.847835689046,0.496700737482,0.110099643253,13.5359019264
31,70343,Brus,normal,606.0,15706.0,16317.0,7324.0,6319.0,1005.0,619.0,386.0,8993.0,1470.0,1037.0,0.448857020286,16317.0,15932.0,7.0,,4.0,,,4.0,5.0,3.0,2.0,11.0,,91.0,,1.0,,1.0,1.0,1.0,7.0,13.0,9.0,61.0,,164.0,serbs,23193.0,27383.0,30503.0,32390.0,31455.0,0.862779901693,0.402330319623,0.976404976405,25.9174917492
32,70351,Bujanovac,normal,461.0,38085.0,18067.0,6966.0,4070.0,2896.0,864.0,2032.0,11101.0,1336.0,2107.0,0.385564841977,,,,,,,,,,,,,,,,,,,,,,,,,,,,27841.0,31258.0,33353.0,35776.0,32877.0,0.58426643698,0.106866220297,,82.6138828633
33,70360,Valjevo,normal,905.0,88527.0,90312.0,42896.0,35500.0,7396.0,4958.0,2438.0,47416.0,7048.0,5504.0,0.474975640004,90312.0,86423.0,6.0,8.0,2.0,3.0,,22.0,105.0,21.0,80.0,22.0,11.0,1413.0,5.0,20.0,2.0,2.0,19.0,7.0,72.0,135.0,100.0,565.0,13.0,1256.0,serbs,28821.0,32010.0,34510.0,36874.0,37905.0,0.827582991421,0.4010076022,0.9569381699,97.8198895028
34,70378,Varvarin,normal,249.0,17349.0,17966.0,6645.0,5820.0,825.0,464.0,361.0,11321.0,1108.0,2246.0,0.369865301124,17966.0,17507.0,2.0,1.0,8.0,,12.0,,7.0,3.0,20.0,1.0,1.0,113.0,6.0,1.0,,,,2.0,13.0,30.0,16.0,77.0,2.0,144.0,serbs,23976.0,26805.0,31330.0,33810.0,34442.0,0.875846501129,0.335466021096,0.97445174218,69.6746987952
35,70386,Velika Plana,normal,345.0,39620.0,40902.0,14577.0,11095.0,3482.0,2101.0,1381.0,26325.0,2843.0,5796.0,0.356388440663,40902.0,38761.0,19.0,1.0,24.0,1.0,7.0,11.0,29.0,17.0,43.0,2.0,5.0,380.0,25.0,6.0,,10.0,5.0,1.0,32.0,62.0,48.0,167.0,7.0,1239.0,serbs,28832.0,32872.0,37215.0,34627.0,36483.0,0.761130548124,0.280035335689,0.947655371375,114.84057971
36,70394,Veliko Gradiste,normal,344.0,16948.0,17610.0,6407.0,5645.0,762.0,508.0,254.0,11203.0,1144.0,1967.0,0.363827370812,17610.0,16291.0,,,2.0,,382.0,,15.0,14.0,20.0,7.0,1.0,258.0,65.0,3.0,1.0,2.0,5.0,1.0,14.0,18.0,29.0,143.0,7.0,332.0,serbs,21454.0,24271.0,27875.0,32196.0,32641.0,0.881067582332,0.33307764928,0.925099375355,49.2674418605
37,70408,Vladimirci,normal,338.0,16782.0,17462.0,7383.0,6526.0,857.0,441.0,416.0,10079.0,949.0,2223.0,0.422803802543,17462.0,16799.0,1.0,,1.0,12.0,,,7.0,4.0,7.0,4.0,1.0,181.0,14.0,2.0,,7.0,1.0,3.0,20.0,11.0,49.0,35.0,5.0,298.0,serbs,22633.0,26599.0,30934.0,30401.0,28819.0,0.883922524719,0.388869026338,0.962031840568,49.650887574
38,70416,Vladicin Han,normal,366.0,20012.0,20871.0,8515.0,4415.0,4100.0,2234.0,1866.0,12356.0,1472.0,2261.0,0.407982367879,20871.0,18644.0,,1.0,88.0,,,,7.0,4.0,23.0,2.0,3.0,1503.0,,10.0,,1.0,3.0,3.0,5.0,5.0,7.0,251.0,1.0,310.0,serbs,16332.0,24563.0,27703.0,29984.0,30123.0,0.518496770405,0.220617629422,0.89329691917,54.6775956284
39,70424,Vlasotince,normal,308.0,28948.0,29893.0,14821.0,11588.0,3233.0,1575.0,1658.0,15072.0,2350.0,2557.0,0.495801692704,29893.0,28613.0,,,4.0,,1.0,,3.0,3.0,23.0,3.0,,691.0,10.0,2.0,,2.0,2.0,1.0,11.0,14.0,15.0,344.0,,151.0,serbs,22061.0,24336.0,27010.0,28687.0,28949.0,0.781863571959,0.400303993367,0.957180610845,93.987012987
40,70432,Vranje,normal,602.0,73200.0,73944.0,31454.0,22822.0,8632.0,4570.0,4062.0,42490.0,6964.0,4757.0,0.425375960186,73944.0,68483.0,12.0,4.0,558.0,1.0,,43.0,16.0,6.0,240.0,17.0,1.0,3279.0,2.0,9.0,1.0,7.0,8.0,2.0,29.0,46.0,41.0,702.0,7.0,430.0,serbs,,,33223.0,33999.0,30960.0,0.72556749539,0.311775956284,0.926146813805,121.594684385
41,70459,Vrnjacka Banja,normal,239.0,26948.0,27527.0,10482.0,7718.0,2764.0,1762.0,1002.0,17045.0,2339.0,2581.0,0.380789770044,27527.0,26482.0,1.0,,16.0,,2.0,,30.0,17.0,33.0,9.0,5.0,334.0,4.0,7.0,1.0,6.0,5.0,5.0,24.0,107.0,37.0,167.0,10.0,225.0,serbs,24681.0,26884.0,31333.0,33711.0,33338.0,0.73630986453,0.286403443669,0.962037272496,112.753138075
42,70467,Gadzin Han,normal,325.0,7767.0,8389.0,2994.0,2160.0,834.0,546.0,288.0,5395.0,315.0,828.0,0.356895935153,8389.0,7972.0,,,3.0,,,,2.0,,3.0,1.0,,260.0,,3.0,1.0,,1.0,1.0,4.0,3.0,,100.0,,35.0,serbs,18894.0,21568.0,29060.0,28744.0,28534.0,0.721442885772,0.278099652375,0.950292049112,23.8984615385
43,70475,Golubac,normal,367.0,7940.0,8331.0,2777.0,2265.0,512.0,331.0,181.0,5554.0,517.0,975.0,0.333333333333,8331.0,7576.0,,4.0,3.0,,424.0,,13.0,5.0,7.0,3.0,,52.0,47.0,1.0,,,2.0,3.0,6.0,9.0,39.0,65.0,1.0,71.0,serbs,23346.0,23853.0,28369.0,29904.0,26956.0,0.815628375945,0.285264483627,0.909374624895,21.6348773842
44,70483,Gornji Milanovac,normal,836.0,43140.0,44406.0,20479.0,17337.0,3142.0,2155.0,987.0,23927.0,3432.0,2688.0,0.461176417601,44406.0,43453.0,6.0,6.0,5.0,,,3.0,31.0,8.0,49.0,14.0,5.0,178.0,4.0,3.0,1.0,3.0,9.0,4.0,34.0,81.0,30.0,255.0,27.0,197.0,serbs,28679.0,31560.0,34352.0,38975.0,38356.0,0.846574539772,0.401877607789,0.97853893618,51.6028708134
45,70491,Despotovac,normal,623.0,22094.0,23191.0,7536.0,6195.0,1341.0,582.0,759.0,15655.0,1466.0,2856.0,0.324953645811,23191.0,21602.0,18.0,8.0,14.0,,687.0,,16.0,6.0,21.0,21.0,4.0,244.0,38.0,5.0,,1.0,7.0,1.0,20.0,21.0,18.0,336.0,3.0,100.0,serbs,31754.0,33398.0,37112.0,39819.0,39979.0,0.822054140127,0.280392866842,0.931482040447,35.4638844302
46,70505,Dimitrovgrad,normal,483.0,9758.0,10118.0,3872.0,2697.0,1175.0,768.0,407.0,6246.0,694.0,627.0,0.382684324965,10118.0,2819.0,1.0,,5413.0,,,3.0,59.0,,38.0,,,68.0,,2.0,,1.0,1.0,,16.0,9.0,131.0,1533.0,3.0,21.0,bulgarians,25019.0,27037.0,27423.0,29822.0,30778.0,0.696539256198,0.276388604222,0.278612373987,20.2028985507
47,70513,Doljevac,normal,121.0,18305.0,18463.0,7178.0,4001.0,3177.0,1500.0,1677.0,11285.0,1042.0,2530.0,0.38877755511,18463.0,17008.0,2.0,,3.0,,,2.0,5.0,,17.0,2.0,2.0,1218.0,4.0,5.0,,,2.0,,8.0,8.0,4.0,101.0,,72.0,serbs,24238.0,24707.0,28754.0,31831.0,31020.0,0.557397603789,0.218574160066,0.921193738829,151.280991736
48,70521,zabari,normal,264.0,10645.0,11380.0,4019.0,3373.0,646.0,441.0,205.0,7361.0,566.0,1219.0,0.35316344464,11380.0,10137.0,1.0,,,,433.0,,1.0,2.0,11.0,2.0,4.0,57.0,76.0,3.0,1.0,1.0,,1.0,11.0,6.0,9.0,211.0,,413.0,serbs,26597.0,30652.0,30552.0,30013.0,28774.0,0.839263498383,0.316862376703,0.890773286467,40.321969697
49,70530,zagubica,normal,760.0,12084.0,12737.0,4339.0,3699.0,640.0,360.0,280.0,8398.0,680.0,1343.0,0.340661066185,12737.0,9024.0,1.0,1.0,18.0,,2811.0,,8.0,3.0,2.0,4.0,4.0,42.0,71.0,1.0,,,1.0,,8.0,5.0,9.0,274.0,2.0,448.0,serbs,27769.0,31806.0,35442.0,37031.0,37463.0,0.85250057617,0.306107249255,0.708487084871,15.9
50,70548,zitoradja,normal,214.0,15792.0,16368.0,4949.0,3230.0,1719.0,608.0,1111.0,11419.0,938.0,2665.0,0.30235826002,16368.0,14735.0,1.0,,4.0,,1.0,,1.0,4.0,11.0,6.0,,1366.0,,3.0,,,1.0,3.0,4.0,5.0,2.0,124.0,,97.0,serbs,24891.0,28171.0,30263.0,34880.0,35272.0,0.652657102445,0.204533941236,0.900232160313,73.7943925234
51,70556,Zajecar,normal,1069.0,57457.0,59461.0,23882.0,17878.0,6004.0,3845.0,2159.0,35579.0,4127.0,4426.0,0.401641412018,59461.0,52292.0,40.0,4.0,181.0,,2856.0,28.0,89.0,14.0,148.0,28.0,6.0,753.0,204.0,7.0,,5.0,23.0,2.0,71.0,98.0,150.0,1400.0,29.0,1033.0,serbs,30239.0,33550.0,37394.0,39442.0,40632.0,0.74859726991,0.311154428529,0.879433578312,53.748362956
52,70564,Ivanjica,normal,1090.0,31033.0,31963.0,14374.0,11064.0,3310.0,2371.0,939.0,17589.0,2648.0,2060.0,0.449707474267,31963.0,31507.0,13.0,,1.0,1.0,,7.0,7.0,4.0,13.0,8.0,,29.0,1.0,6.0,,1.0,1.0,1.0,9.0,24.0,12.0,44.0,1.0,273.0,serbs,23840.0,29369.0,30733.0,32782.0,32344.0,0.769723111173,0.356523700577,0.985733504364,28.4706422018
53,70572,Kladovo,normal,629.0,19834.0,20635.0,7010.0,5934.0,1076.0,690.0,386.0,13625.0,1304.0,2381.0,0.339714078023,20635.0,17673.0,,2.0,6.0,,788.0,6.0,16.0,8.0,42.0,6.0,1.0,36.0,156.0,3.0,,2.0,4.0,6.0,35.0,236.0,37.0,616.0,1.0,955.0,serbs,33397.0,38186.0,42870.0,45395.0,42256.0,0.846504992867,0.299183220732,0.856457475164,31.5325914149
54,70599,Knic,normal,413.0,13675.0,14237.0,5550.0,4588.0,962.0,551.0,411.0,8687.0,896.0,1568.0,0.389829317974,14237.0,14081.0,1.0,,1.0,,,,5.0,4.0,5.0,,1.0,,,,,,2.0,,9.0,22.0,2.0,55.0,1.0,48.0,serbs,25787.0,28029.0,31064.0,32369.0,33283.0,0.826666666667,0.33550274223,0.989042635387,33.1113801453
55,70602,Knjazevac,normal,1202.0,29948.0,31491.0,15425.0,12334.0,3091.0,2241.0,850.0,16066.0,1937.0,1341.0,0.489822488965,31491.0,29631.0,22.0,7.0,33.0,,20.0,,15.0,12.0,42.0,7.0,4.0,789.0,4.0,8.0,,1.0,6.0,6.0,23.0,20.0,23.0,626.0,5.0,187.0,serbs,21045.0,24028.0,27878.0,30313.0,31864.0,0.79961102107,0.411847201816,0.940935505382,24.9151414309
56,70629,Kosjeric,normal,358.0,11542.0,12090.0,4349.0,3693.0,656.0,394.0,262.0,7741.0,840.0,1527.0,0.359718775848,12090.0,11879.0,1.0,,1.0,,,,4.0,,4.0,2.0,,1.0,,1.0,,1.0,1.0,2.0,8.0,23.0,7.0,98.0,2.0,55.0,serbs,43103.0,46435.0,46382.0,51662.0,47388.0,0.849160726604,0.319961878357,0.982547559967,32.2402234637
