mun_id,nondisc_roads,mun,nondisc_general,nondisc_solidarity,nondisc_total,self_transfers,nondisc_total_roads,discretionary_transfers,discretionary_transfers_plus_roads,pres_name,party_id,name_abr,name_full,in_gov11,ingov13,fringe13,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,ag3_name_abr,ag3_party_id,ag3_name_full,nat_party
70017.0,2146000.0,Aleksandrovac,213123511.0,30533472.0,243656983.0,264880000.0,245802983.0,19077017.0,21223017.0,Dragan Blagojevic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70025.0,6086000.0,Aleksinac,444651199.0,43546123.0,488197322.0,529762000.0,494283322.0,35478678.0,41564678.0,Nenad Stankovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70033.0,23564000.0,Arandjelovac,196931884.0,27123485.0,224055369.0,296437000.0,247619369.0,48817631.0,72381631.0,Bojan Radovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70041.0,10910000.0,Arilje,71103965.0,15725538.0,86829503.0,112033000.0,97739503.0,14293497.0,25203497.0,Zoran Todorovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70050.0,8488000.0,Babusnica,172505764.0,66773734.0,239279498.0,258736000.0,247767498.0,10968502.0,19456502.0,Sasa Stamenkovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70068.0,24942000.0,Bajina Basta,121477712.0,38148366.0,159626078.0,207073000.0,184568078.0,22504922.0,47446922.0,Zlatan Jovanovic,17,SRS,Srpska Radikalna stranka,0,-1,0,0,SRS,17,Srpska Radikalna stranka,SRS,17,Srpska Radikalna stranka,SRS,17,Srpska Radikalna stranka,1
70076.0,0.0,Batocina,77774968.0,34371349.0,112146317.0,124867000.0,112146317.0,12720683.0,12720683.0,Radisa Milosevic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70084.0,11463000.0,Bela Palanka,158772363.0,82049714.0,240822077.0,257284000.0,252285077.0,4998923.0,16461923.0,Goran Miljkovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70262.0,2863000.0,Blace,121684145.0,48811426.0,170495571.0,179809000.0,173358571.0,6450429.0,9313429.0,Radoje Krstovic,7,DSS,Demokratska stranke Srbije,0,0,0,0,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,1
70289.0,5736000.0,Bogatic,298206531.0,34478260.0,332684791.0,349906000.0,338420791.0,11485209.0,17221209.0,Nenad Beserovac,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70297.0,19383000.0,Bojnik,157101357.0,55415420.0,212516777.0,0.0,231899777.0,-231899777.0,-212516777.0,Ivan Stanojevic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70319.0,21646000.0,Boljevac,172266060.0,39753380.0,212019440.0,251202000.0,233665440.0,17536560.0,39182560.0,Nebojsa Marjanovic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70327.0,29335000.0,Bor,293609649.0,24121053.0,317730702.0,361606000.0,347065702.0,14540298.0,43875298.0,Sasa Vukadinovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70335.0,14822000.0,Bosilegrad,129259351.0,129998995.0,259258346.0,281813000.0,274080346.0,7732654.0,22554654.0,Vladimir Zaharijev,7,DSS,Demokratska stranke Srbije,0,0,0,0,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,1
70343.0,5562000.0,Brus,135262426.0,50346616.0,185609042.0,201949000.0,191171042.0,10777958.0,16339958.0,Zoran Obradovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70351.0,11691000.0,Bujanovac,360216966.0,59460560.0,419677526.0,551368000.0,431368526.0,119999474.0,131690474.0,Nagip Arifi,48,DP,Demokratska partija,0,0,0,0,DP,48,Demokratska partija,LP,-4,Local Party,LP,-4,Local Party,0
70360.0,31867000.0,Valjevo,391441374.0,23203690.0,414645064.0,523792000.0,446512064.0,77279936.0,109146936.0,Stanko Terzic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70378.0,8344000.0,Varvarin,193442460.0,49126765.0,242569225.0,262880000.0,250913225.0,11966775.0,20310775.0,Zoran Milenkovic,25,SPO,Srpski pokret obnove,1,0,0,1,SPO,25,Srpski pokret obnove,SPO,25,Srpski pokret obnove,SPO,25,Srpski pokret obnove,1
70386.0,1774000.0,Velika Plana,287863339.0,37782951.0,325646290.0,363077000.0,327420290.0,35656710.0,37430710.0,Dejan Sulkic,7,DSS,Demokratska stranke Srbije,0,0,0,0,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,1
70394.0,12671000.0,Veliko Gradiste,174749732.0,37699494.0,212449226.0,235191000.0,225120226.0,10070774.0,22741774.0,Dragan Milic,44,GGDM,Grupa gradjana Dragan Milic,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
70408.0,7368000.0,Vladimirci,164629632.0,39929431.0,204559063.0,210903000.0,211927063.0,-1024063.0,6343937.0,Vladica Markovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70416.0,10667000.0,Vladicin Han,217896561.0,70745645.0,288642206.0,306087000.0,299309206.0,6777794.0,17444794.0,Goran Mladenovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70424.0,1748000.0,Vlasotince,281499175.0,52545821.0,334044996.0,343112000.0,335792996.0,7319004.0,9067004.0,Nebojsa Stojanovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70432.0,36764000.0,Vranje,377596909.0,25736960.0,403333869.0,,440097869.0,,,Zoran Antic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70459.0,10938000.0,Vrnjacka Banja,75249998.0,23644191.0,98894189.0,173556000.0,109832189.0,63723811.0,74661811.0,Boban Djurovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70467.0,1325000.0,Gadzin Han,103652392.0,52072930.0,155725322.0,167091000.0,157050322.0,10040678.0,11365678.0,Sasa Djordjevic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70475.0,9167000.0,Golubac,101129864.0,68601021.0,169730885.0,185507000.0,178897885.0,6609115.0,15776115.0,Zoran Pajkic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70483.0,48420000.0,Gornji Milanovac,194828722.0,24963723.0,219792445.0,284782000.0,268212445.0,16569555.0,64989555.0,Milisav Mirkovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70491.0,16393000.0,Despotovac,214630408.0,33702410.0,248332818.0,288085000.0,264725818.0,23359182.0,39752182.0,Dejan Nenadovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70505.0,20592000.0,Dimitrovgrad,71699389.0,36381723.0,108081112.0,155829000.0,128673112.0,27155888.0,47747888.0,Nebojsa Ivanov,42,DPB,Demokratska Partija Bugara,0,0,0,0,EG,-3,Ethnic Group,LP,-4,Local Party,EG,-3,Ethnic Group,0
70513.0,1122000.0,Doljevac,140791565.0,46582849.0,187374414.0,209876000.0,188496414.0,21379586.0,22501586.0,Goran Ljubic,26,PZJ,Pokret za Jug,0,0,0,0,PZJ,26,Pokret za Jug,LP,-4,Local Party,LP,-4,Local Party,0
70521.0,2650000.0,zabari,135655331.0,36577855.0,172233186.0,188962000.0,174883186.0,14078814.0,16728814.0,Miodrag Filipovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70530.0,4941000.0,zagubica,198981848.0,56513663.0,255495511.0,275966000.0,260436511.0,15529489.0,20470489.0,Safet Pavlovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70548.0,6897000.0,zitoradja,173354719.0,58265815.0,231620534.0,239905000.0,238517534.0,1387466.0,8284466.0,Miodrag Petrovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70556.0,41383000.0,Zajecar,265415132.0,27619703.0,293034835.0,344648000.0,334417835.0,10230165.0,51613165.0,Bosko Nicic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70564.0,23749000.0,Ivanjica,285000740.0,45425302.0,330426042.0,8935000.0,354175042.0,-345240042.0,-321491042.0,Milomir Zoric,9,GGMZ,Grupa Gradjana Milomir Zoric,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
70572.0,11615000.0,Kladovo,119784527.0,31626964.0,151411491.0,169431000.0,163026491.0,6404509.0,18019509.0,Radovan Arezina,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70599.0,4310000.0,Knic,144477258.0,39305440.0,183782698.0,204648000.0,188092698.0,16555302.0,20865302.0,Dragana Jovanovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70602.0,23903000.0,Knjazevac,359733822.0,45500203.0,405234025.0,446051000.0,429137025.0,16913975.0,40816975.0,Milan Djokic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70629.0,13246000.0,Kosjeric,38805574.0,16793593.0,55599167.0,79285000.0,68845167.0,10439833.0,23685833.0,Milan Stojanic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70637.0,13039000.0,Koceljeva,117217156.0,39313828.0,156530984.0,179779000.0,169569984.0,10209016.0,23248016.0,Veroljub Matic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70645.0,2293000.0,Kragujevac - grad,567479325.0,15735069.0,583214394.0,815011000.0,585507394.0,229503606.0,231796606.0,Veroljub Stevanovic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70653.0,10624000.0,Kraljevo,710593525.0,30764388.0,741357913.0,777642000.0,751981913.0,25660087.0,36284087.0,Dragan Jovanovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70661.0,19079000.0,Krupanj,199797760.0,50951034.0,250748794.0,289163000.0,269827794.0,19335206.0,38414206.0,Rade Grujic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70670.0,10307000.0,Krusevac,487102152.0,24833595.0,511935747.0,579706000.0,522242747.0,57463253.0,67770253.0,Bratislav Gasic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70688.0,27934000.0,Kursumlija,208652488.0,85883166.0,294535654.0,335181000.0,322469654.0,12711346.0,40645346.0,Radoljub Vidic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70696.0,7533000.0,Kucevo,202951963.0,55015731.0,257967694.0,272514000.0,265500694.0,7013306.0,14546306.0,Zoran Milekic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70700.0,3801000.0, Lajkovac,32988865.0,15627569.0,48616434.0,68126000.0,52417434.0,15708566.0,19509566.0,Zivorad Bojicic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70718.0,15134000.0,Lebane,253492191.0,65728291.0,319220482.0,345136000.0,334354482.0,10781518.0,25915518.0,Zoran Lilic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70726.0,31950000.0,Leskovac,899267836.0,38033941.0,937301777.0,970886000.0,969251777.0,1634223.0,33584223.0,Goran Cvetanovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70734.0,17353000.0,Loznica,532143812.0,32710474.0,564854286.0,766264000.0,582207286.0,184056714.0,201409714.0,Vidoje Petrovic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70742.0,9241000.0,Lucani,141517930.0,26669502.0,168187432.0,169704000.0,177428432.0,-7724432.0,1516568.0,Mladomir Sretenovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70769.0,14949000.0,Ljig,79192191.0,39618361.0,118810552.0,144635000.0,133759552.0,10875448.0,25824448.0,Miodrag Starcevic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70777.0,5924000.0,Ljubovija,132206870.0,56100488.0,188307358.0,207479000.0,194231358.0,13247642.0,19171642.0,Miroslav Micic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70785.0,19155000.0,Majdanpek,223919031.0,33315420.0,257234451.0,285800000.0,276389451.0,9410549.0,28565549.0,Dragan Popovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70793.0,3491000.0,Mali Zvornik,92860993.0,55908519.0,148769512.0,162507000.0,152260512.0,10246488.0,13737488.0,Miodrag Lazic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70807.0,10606000.0,Malo Crnice,149081062.0,50554002.0,199635064.0,228353000.0,210241064.0,18111936.0,28717936.0,Dragan Mitic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70815.0,9692000.0,Medvedja,112295092.0,96929154.0,209224246.0,255832000.0,218916246.0,36915754.0,46607754.0,Slobodan Draskovic,35,GGGJ,"Grupa Gradjana ""Gornja Jablanica""",0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
70823.0,5546000.0,Merosina,129414485.0,54601760.0,184016245.0,189784000.0,189562245.0,221755.0,5767755.0,Sanja Stajic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70831.0,8371000.0, Mionica,127947828.0,44416741.0,172364569.0,174694000.0,180735569.0,-6041569.0,2329431.0,Dragan Gavrilovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70840.0,31836000.0,Negotin,237562585.0,26064966.0,263627551.0,324606000.0,295463551.0,29142449.0,60978449.0,Milan Urkovic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70866.0,10173000.0,Nova Varos,138941650.0,46340604.0,185282254.0,213557000.0,195455254.0,18101746.0,28274746.0,Dimitrije Paunovic,1,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
70874.0,22061000.0,Novi Pazar,507703732.0,37374930.0,545078662.0,572531000.0,567139662.0,5391338.0,27452338.0,Dr.Meho Mahmutovic,31,SDPS,Socijaldemokratska partija Srbije Rasim Ljajic,0,1,1,1,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,1
70882.0,18955000.0,Osecina,141452507.0,37100455.0,178552962.0,209867000.0,197507962.0,12359038.0,31314038.0,Nenad Stevanovic,4,URS,Ujedinjeni Regioni Srbije,1,1,1,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
70904.0,7558000.0,Paracin,265988193.0,33310962.0,299299155.0,338412000.0,306857155.0,31554845.0,39112845.0,Sasa Paunovic,2,DS,Demokratska Stranka,1,-1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70912.0,17171000.0,Petrovac,345516064.0,50754192.0,396270256.0,432395000.0,413441256.0,18953744.0,36124744.0,Radisa Dragojevic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
70939.0,11336000.0,Pirot,298674155.0,27640987.0,326315142.0,362123000.0,337651142.0,24471858.0,35807858.0,Vladan Vasic,30,KzP,Koalicija za Pirot,0,1,1,0,KzP,30,Koalicija za Pirot,KzP,30,Koalicija za Pirot,KzP,30,Koalicija za Pirot,0
70947.0,9818000.0,Pozarevac,180090664.0,14460632.0,194551296.0,,204369296.0,,,Miomir Ilic,3,SPS,Socijalisticka Partija Srbije,1,1,0,1,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
